s3ic_id,num_dep,region,department,city,name,lat,lon,last_inspection,regime,seveso,family,active,code_postal,code_insee,code_naf
0065.00806,77,ILE DE FRANCE,SEINE ET MARNE,CROISSY BEAUBOURG,FASHION PARTNER NETWORK,672725,6857392,2017-03-15,E,NS,Industries,En fonctionnement,77183,77146,
0065.00816,77,ILE DE FRANCE,SEINE ET MARNE,CUISY,CASSE AUTO CUISY,682754,6880155,2015-10-22,E,NS,Industries,En fonctionnement,77165,77150,46.77Z
0065.00846,77,ILE DE FRANCE,SEINE ET MARNE,DAMMARIE LES LYS,ENGIE - GEODALYS,673060,6824776,2018-11-08,E,NS,Industries,En fonctionnement,77190,77152,
0065.00888,77,ILE DE FRANCE,SEINE ET MARNE,DAMMARTIN EN GOELE,ALDI MARCHE DAMMARTIN (exIMMALDI ET CIE),677964,6885011,2020-08-11,E,NS,Industries,En fonctionnement,77230,77153,
0065.00936,77,ILE DE FRANCE,SEINE ET MARNE,MORET-LOING-ET-ORVANNE,PIKETTY,687370,6805697,2020-07-03,A,NS,Carrières,En fonctionnement,77250,77316,08.12Z
0065.00943,77,ILE DE FRANCE,SEINE ET MARNE,EGREVILLE,Terres Bocage Gâtinais ex SCARLE,690966,6786417,2020-10-27,A,SB,Industries,En fonctionnement,77620,77168,
0065.00949,77,ILE DE FRANCE,SEINE ET MARNE,EMERAINVILLE,DISTRITEC (Ex NEW RED-AUCHAN-,671649,6857608,2019-09-09,E,NS,Industries,En fonctionnement,77184,77169,
0065.00966,77,ILE DE FRANCE,SEINE ET MARNE,EMERAINVILLE,VREP (ex DHL Solutions France - Bât A-B),671759,6856606,2020-02-25,E,NS,Industries,En fonctionnement,77184,77169,
0065.00982,77,ILE DE FRANCE,SEINE ET MARNE,ESBLY,VALFRANCE (Esbly),685559,6866543,2017-09-26,E,NS,Industries,En fonctionnement,77450,77171,
0065.00983,77,ILE DE FRANCE,SEINE ET MARNE,ESMANS,CASSE AUTOS PIECES,699282,6803152,2020-10-19,E,NS,Industries,En fonctionnement,77940,77172,
0065.01011,77,ILE DE FRANCE,SEINE ET MARNE,FERRIERES EN BRIE,KUEHNE + NAGEL Logistics,678793,6858718,2019-03-05,A,NS,Industries,En fonctionnement,77164,77181,49.41B
0065.01023,77,ILE DE FRANCE,SEINE ET MARNE,LA FERTE GAUCHER,DELISLE ,721729,6852895,2019-05-17,E,NS,Industries,En fonctionnement,77320,77182,
0065.01113,77,ILE DE FRANCE,SEINE ET MARNE,FOUJU,REP (Décharge de Fouju-Moisenay),681934,6830266,2020-11-25,A,NS,Industries,En fonctionnement,77390,77195,
0065.01121,77,ILE DE FRANCE,SEINE ET MARNE,FRESNES SUR MARNE,REP,679843,6872460,2020-11-19,A,NS,Industries,En fonctionnement,77410,77196,38.21Z
0065.01132,77,ILE DE FRANCE,SEINE ET MARNE,GERMIGNY SOUS COULOMBS,Storengy,712768,6884168,2020-11-30,A,SH,Industries,En fonctionnement,77840,77204,
0065.01133,77,ILE DE FRANCE,SEINE ET MARNE,GOUAIX,SICA de Gouaix,722107,6819611,2020-06-23,A,SH,Industries,En fonctionnement,77114,77208,
0065.01135,77,ILE DE FRANCE,SEINE ET MARNE,GOUAIX,DUC (ex RAMBOL Fromagerie),721530,6819100,2014-09-18,E,NS,Industries,En fonctionnement,77114,77208,
0065.01151,77,ILE DE FRANCE,SEINE ET MARNE,LA GRANDE PAROISSE,IN VIVO (ex SIGMA),690551,6808426,2020-09-11,A,NS,Industries,En fonctionnement,77130,77210,
0065.01156,77,ILE DE FRANCE,SEINE ET MARNE,LA GRANDE PAROISSE,GSM secteur IdF Est ,691860,6807379,2016-09-19,E,NS,Carrières,En fonctionnement,77130,77210,08.12Z
0065.01167,77,ILE DE FRANCE,SEINE ET MARNE,GRANDPUITS BAILLY CARROIS,BOREALIS CHIMIE,696507,6833047,2020-11-13,A,SH,Industries,En fonctionnement,77720,77211,
0065.01168,77,ILE DE FRANCE,SEINE ET MARNE,GRANDPUITS BAILLY CARROIS,ALICE (ex PRBG),696666,6832190,2016-12-19,A,NS,Industries,En fonctionnement,77720,77211,19.20Z
0065.01169,77,ILE DE FRANCE,SEINE ET MARNE,GRANDPUITS BAILLY CARROIS,TOTAL Raffinage France,696016,6831794,2020-10-14,A,SH,Industries,En fonctionnement,77720,77211,
0065.01186,77,ILE DE FRANCE,SEINE ET MARNE,GRETZ ARMAINVILLIERS,CHROM IMPEC,680052,6848372,2019-09-17,A,NS,Industries,En fonctionnement,77220,77215,25.61Z
0065.01198,77,ILE DE FRANCE,SEINE ET MARNE,GRETZ ARMAINVILLIERS,ROT,680504,6848144,2018-05-29,E,NS,Industries,En fonctionnement,77220,77215,
0065.01202,77,ILE DE FRANCE,SEINE ET MARNE,GRETZ ARMAINVILLIERS,GESTAMP NOURY,680302,6847799,2018-01-11,E,NS,Industries,En fonctionnement,77220,77215,
0065.01204,77,ILE DE FRANCE,SEINE ET MARNE,GRETZ ARMAINVILLIERS,KERBIRIO,680058,6847884,2020-07-07,A,NS,Industries,En fonctionnement,77220,77215,
0065.01208,77,ILE DE FRANCE,SEINE ET MARNE,GRETZ ARMAINVILLIERS,BONNY SAS,680197,6847675,2018-11-27,E,NS,Industries,En fonctionnement,77220,77215,10.13A
0065.01245,77,ILE DE FRANCE,SEINE ET MARNE,LA HOUSSAYE EN BRIE,LOGISTIQUE PRINTEMPS,690550,6848850,2019-11-21,E,NS,Industries,En fonctionnement,77610,77229,52.10B
0065.01252,77,ILE DE FRANCE,SEINE ET MARNE,ISLES LES MELDEUSES,SABLIERES CAPOULADE,701992,6878081,2016-06-07,A,NS,Carrières,En fonctionnement,77440,77231,08.12Z
0065.01263,77,ILE DE FRANCE,SEINE ET MARNE,ISLES LES VILLENOY,SPME (PARISIENNE DE MATERIAUX ENROBES),687536,6868534,2019-06-28,E,NS,Industries,En fonctionnement,77450,77232,23.99Z
0065.01280,77,ILE DE FRANCE,SEINE ET MARNE,JOUARRE,CARTONNAGES & PLASTIQUES WIMBEE,709068,6869310,2021-01-28,E,NS,Industries,En fonctionnement,77640,77238,17.29Z
0065.01299,77,ILE DE FRANCE,SEINE ET MARNE,JOUY LE CHATEL,CARRIERES ET MATERIAUX DE JOUY LE CHATEL,708456,6842366,2020-11-05,A,NS,Carrières,En fonctionnement,77970,77239,08.12Z
0065.01316,77,ILE DE FRANCE,SEINE ET MARNE,LAGNY SUR MARNE,IPBI,676838,6864037,,E,NS,Industries,En fonctionnement,77400,77243,
