,Unnamed: 0,s3ic_id,num_dep,region,department,city,name,lat,lon,last_inspection,regime,seveso,family,active,code_postal,code_insee,code_naf
726,1078,0032.01961,03,AUVERGNE - RHONE-ALPES,ALLIER,AUROUER,SABATIER Christophe,724409,6620630,2020-12-08,E,NS,Industries,En fonctionnement,03460,03011,
739,1095,0032.02131,01,AUVERGNE - RHONE-ALPES,AIN,LAGNIEU,CC de la Plaine de l'Ain,881112,6538427,2020-08-05,E,NS,Industries,En fonctionnement,01150,01202,
743,1106,0032.02302,03,AUVERGNE - RHONE-ALPES,ALLIER,ANDELAROCHE,MONSIEUR HENRY CABAUD,757902,6572504,,E,NS,Volailles,En fonctionnement,03120,03004,01.47Z
756,1125,0032.02456,38,AUVERGNE - RHONE-ALPES,ISERE,VAULX MILIEU,STEF TSA,869915,6503862,2019-03-07,A,NS,Industries,En fonctionnement,38090,38530,
763,1136,0032.02537,42,AUVERGNE - RHONE-ALPES,LOIRE,MERLE LEIGNEC,ETABLISSEMENTS CHRISTOPHE ROUX SARL,779948,6475897,2019-10-17,A,NS,Industries,En fonctionnement,42380,42142,16.23Z
764,1137,0032.02555,42,AUVERGNE - RHONE-ALPES,LOIRE,ST ROMAIN LE PUY,VIAL Louis SAS,789963,6495525,,A,NS,Industries,En fonctionnement,42610,42285,47.78B
771,1149,0032.02663,38,AUVERGNE - RHONE-ALPES,ISERE,PREBOIS,EARL LES BAUDES,912936,6413748,,E,NS,Porcs,En fonctionnement,38710,38321,01.46
786,1180,0032.03040,01,AUVERGNE - RHONE-ALPES,AIN,FOISSIAT,FEUX D ARTIFICES UNIC SA,867036,6587715,,E,NS,Industries,En fonctionnement,01340,01163,
798,1198,0032.03266,01,AUVERGNE - RHONE-ALPES,AIN,PARVES ET NATTAGES,DANNENMULLER TLTP,890935,6484696,2020-09-04,E,NS,Industries,En fonctionnement,01300,01286,43.11Z
805,1208,0032.03527,26,AUVERGNE - RHONE-ALPES,DROME,PORTES LES VALENCE,Margerie (La Ferme Bio Margerie),849381,6422146,2019-10-16,E,NS,Industries,En fonctionnement,26800,26252,10.39B
807,1211,0032.03572,03,AUVERGNE - RHONE-ALPES,ALLIER,BAYET,JALICOT,721495,6573040,,A,NS,Carrières,En fonctionnement,03500,03018,08.12
821,1237,0032.04210,03,AUVERGNE - RHONE-ALPES,ALLIER,CRESSANGES,ALIAE - projet RCEA,713052,6593947,2020-11-24,E,NS,Industries,En fonctionnement,03240,03092,
825,1241,0032.04238,01,AUVERGNE - RHONE-ALPES,AIN,COURMANGOUX,SA LARCON FRERES,882092,6583989,2021-01-28,E,NS,Porcs,En fonctionnement,01370,01127,
